广东频道,#genre#
CCTV风云剧场,http://192.168.68.123:8848/rtp/239.253.43.16:5146

CCTV央视文化精品,http://192.168.68.123:8848/rtp/239.253.43.27:5146
CCTV央视文化精品,http://192.168.68.123:8848/rtp/239.253.43.13:5146

CCTV第一剧场,http://192.168.68.123:8848/rtp/239.253.43.28:5146
CCTV第一剧场,http://192.168.68.123:8848/rtp/239.253.43.15:5146

CCTV风云音乐,http://192.168.68.123:8848/rtp/239.253.43.29:5146
CCTV风云音乐,http://192.168.68.123:8848/rtp/239.253.43.6:5146

CETV-早期教育http://192.168.50.1:1225/rtp/239.77.0.180:5146
茶频道,http://192.168.68.123:8848/rtp/239.77.1.207:5146
快乐垂钓,http://192.168.68.123:8848/rtp/239.77.1.119:5146


其他频道,#genre#

